channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_thumbnail,video_tags,collection_date,day,day_published,publish_date
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,1694545214.0,Eagles' Jason Kelce pulls back curtain on life in the NFL in new doc,"Philadelphia Eagles’ star Jason Kelce and his wife open up about the new Prime Video documentary ""Kelce"" that pulls back the curtain on life in the NFL. NBC’s Kaylee Hartung reports for TODAY.

» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY
» Watch the latest from TODAY: http://bit.ly/LatestTODAY
About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.

Connect with TODAY Online!
Visit TODAY's Website: http://on.today.com/ReadTODAY
Find TODAY on Facebook: http://on.today.com/LikeTODAY
Follow TODAY on Twitter: http://on.today.com/FollowTODAY
Follow TODAY on Instagram: http://on.today.com/InstaTODAY

» Stream TODAY All Day: https://www.today.com/allday
About: TODAY All Day is a 24/7 streaming channel bringing you the top stories in news and pop culture, celebrity interviews, cooking, and more. All in one place.

#football #philadelphia #jasonkelce",25,1060861,268,8496,,https://i.ytimg.com/vi/CycfFobNPlI/hqdefault.jpg,Al Roker|Entertainment|Food|Hoda Kotb|International News|Money|Natalie Morales|Savannah Gutherie|Sports|Style|Today|Today Show|breaking news|concerts|domestic news|health|home|interviews|media|parents|pets|politics|shopping|weather,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 19:00:14
ESPN,UCiWLfSweyRNmLpgEHekhoAg,1694562365.0,Weighing in on Travis Kelce-Taylor Swift reportedly 'quietly hanging out' | The Pat McAfee Show,"The Pat McAfee Show speaks on the developing saga between Taylor Swift and Travis Kelce after multiple sources are reporting on the power duo's whereabouts.

✔️Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",17,83647,221,850,,https://i.ytimg.com/vi/sNCQU6t5UzY/hqdefault.jpg,Weighing in on Travis Kelce-Taylor Swift|'quietly hanging out'|The Pat McAfee Show|Travis Kelce-Taylor Swift|Travis Kelce|Taylor Swift|McAfeeESPN2023,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 23:46:05
Brianna Diogo,UCFlUByMJmqjFzR5S6J2lXEw,1694572949.0,Travis Kelce is dating Taylor Swift and I don’t know how to feel #nflnews,,10,30337,43,928,,https://i.ytimg.com/vi/SpKnXopkWFs/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 02:42:29
KentSports,UCujqzMePoaIKS38qguhwh5A,1694585163.0,Travis Kelce wore a John Mayer (Taylor Swift ex) shirt on his podcast today. Coincidence? I think no,,17,4317,0,39,,https://i.ytimg.com/vi/56b1F4r7Zjs/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 06:06:03
KentSports,UCujqzMePoaIKS38qguhwh5A,1694567676.0,Is Taylor Swift dating NFL star Travis Kelce of the Kansas City Chiefs?!,,17,3617,6,92,,https://i.ytimg.com/vi/wzMl9egMDdI/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:14:36
Page Six,UCNWsXxEbKkKXOYzw-SwaXoA,1694568530.0,Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce,"Taylor Swift and NFL star Travis Kelce have reportedly been seeing each other for a few weeks.

The “Cruel Summer” songstress and the hunky football player allegedly linked up after Kelce tried — and failed — to give Swift his phone number at one of her recent Eras Tour concerts, according to the Messenger.

“Taylor and Travis have been quietly hanging out,” an insider told the outlet. “She saw him when she was in NYC a few weeks ago.”

Reps for Kelce and Swift, both 33, did not immediately return Page Six’s request for comment.

Read more at https://pagesix.com/2023/09/12/taylor-swift-is-reportedly-hanging-out-with-nfl-star-travis-kelce/

#taylorswift #traviskelce #celebrities

Page Six is your source for celebrity news, gossip, entertainment, pop culture, photos, video and more.

Catch the latest news and gossip here:
https://pagesix.com/
Follow us on:
Facebook - https://www.facebook.com/pagesix/
Twitter - https://twitter.com/PageSix 
Instagram - https://www.instagram.com/pagesix/

Check out We Hear, our Page Six podcast!
https://podcasts.apple.com/us/podcast/we-hear/id1479076951
https://open.spotify.com/show/4A4v65sX7nIHpEtrYnInDm
 
And Page Six Style has the latest news on celebrity style including fashion trends, red carpet photos, and beauty tips.

Catch the latest news here: https://pagesix.com/style/
Follow us on:
Facebook - https://www.facebook.com/pagesix/
Twitter - https://twitter.com/PageSix",24,2404,3,14,,https://i.ytimg.com/vi/nxUd_evP2iU/hqdefault.jpg,page six|page six tv|page six style|news|celebrity news|gossip|celebrity gossip|celebrity|celeb|celebs|celebrities|entertainment|fashion|pop culture|entertainment news|celeb news|taylor swift|travic kelce|taylor swift travis kelce|taylor swift travis kelce dating|taylor swift and travis kelce|taylor swift songs|taylor swift eras tour|taylor swift dating|taylor swift eras tour concert|taylor swift travis|taylor swift new man|travis kelce taylor swift,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:28:50
Taylor Swift Updates,UC96qVt1LJG4etpRNs2iFvjQ,1694567009.0,Taylor Swift new boyfriend is Travis Kelce - NFL player *CUTE* ♥️😍 #talyorswift,,10,1647,4,50,,https://i.ytimg.com/vi/dWidTi5XZaA/hqdefault.jpg,taylor swift|travis kelce|taylor’s version,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:03:29
SUNews,UC--USu1xryT3rdXrIqBe8Fg,1694586661.0,"News: Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce, SUNews","News: Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce, SUNews
Hello Everyone and welcome back everyone! I'm so glad to see you here on my Channel. I really need your feedback on my videos about : 
1. Video Quality 
2. Type of Breaking News and News Clip Content that you want.
Thank you for your comment. I will make better videos for you. you’re my family.

Subscribe here https://www.youtube.com/channel/UC--USu1xryT3rdXrIqBe8Fg
---------------------------------------------------------------------
Welcome to our channel SUNews English and News Clip
Thank you for being a part of and supporting our videos on our channel. Your support is mean so much to us, and we've appreciated your support.
Please kindly subscribe and click on the bell icon for the last update for our videos. 

Once again thank you for your love and supports, 
Love from SUNews English!!!!!!",24,828,0,4,,https://i.ytimg.com/vi/GpF1nTkrGhg/hqdefault.jpg,CELEBRITY CHILDREN|CELEBRITY EXES|CELEBRITY WEDDINGS|TEENS|world news|news world|english news|breaking news|live news|news today|SUNews|SUNews English|taylor swift|taylor swift songs|taylor swift playlist|karma taylor swift|august taylor swift|you're losing me taylor swift|anti hero taylor swift|travis kelce|travis kelce injury|travis kelce highlights|derwin james travis kelce|travis kelce interview|travis kelce fight,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 06:31:01
Nasrothschild,UCWtLy4outyx_hqNyMy9h1Aw,1694560174.0,Taylor Swift and NFL player Travis Kelce have been “quietly hanging out”,,24,637,4,8,,https://i.ytimg.com/vi/OqNUKoZ0wT8/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 23:09:34
*THE ONE BLOG*,UC15iSqI0C22DVQTrySMYb1g,1694571565.0,Taylor Swift 'HANGING OUT' with football player Travis Kelce. after he tried and failed 2 months ago,"#taylorswift #traviskelce #hangout 
#love #swifties #fans #dontmissit #entertainment #foryou #viral #dontmiss #usa #trending #newvideo 
The Eras Tour performer has reportedly been dating football star Travis Kelce, a tight end with the Kansas City Chiefs. They are both 33-years-old.  'Taylor and Travis have been quietly hanging out,' a source told The Messenger on Tuesday.
'She saw him when she was in New York City a few weeks ago.'
Hello guys hope u enjoyed the video..I will love to see u in the next video.thank  u'll😊",24,364,2,2,,https://i.ytimg.com/vi/kDg0U-Ayp6M/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 02:19:25
Ocean Lemon,UCe7PGEPkwIX164nY9IwtTcw,1694567154.0,Is Taylor Swift Dating Travis Kelce?!?,"Thanks For Watching. Make Sure To Like And Subscribe So That This Channel Can Grow And Blossom. 

Sub To These Awesome Swifties 
https://youtube.com/@Slaylor
https://youtube.com/@its_just_a_swiftie
https://youtube.com/@Swiftxeditz
https://youtube.com/@Swiftitoff
https://youtube.com/@stephensrevenge
https://youtube.com/@izzy_Swift
https://youtube.com/@mirrooorball
https://youtube.com/@whatthefox__
https://youtube.com/@midnight_rain_13
https://youtube.com/@alltooswift
https://youtube.com/@missamericana7376
https://youtube.com/@TaylorsArt13.
https://youtube.com/@shimmeringtaylor
https://youtube.com/@thearcher1
https://youtube.com/@SwiftieClowns13
https://youtube.com/@swifttok13
https://youtube.com/@swift4life1328
https://youtube.com/@swiftlynsparkly
https://youtube.com/@taylorthings13
https://youtube.com/@Swiftie13rep_



Thanks For Watching. 
Subscribe Road To 10,000
Comment What You Want Me To React To Next.


Follow My Twitter: 
https://twitter.com/travisstenciljr?t=Xn78MA81OxukfCM3gjEs_w&s=09


#taylorswift #lavenderhaze #taylorswiftfans #taylorswiftlover  #taylorswiftevermore #taylorswiftred #taylorswiftfearless #taylorswifttaylorswift #taylorswiftspeaknow #themusicindustry #taylorswiftreputation #taylorswiftfolklore #taylorswift1989 #Taylorswift1989taylorsversion #taylorswiftfearlesstaylorsversion #taylorswiftredtaylorsversion #taylorswiftspeaknowtaylorsversion #taylorswiftreputationtaylorsversion #ts10 #taylorswiftmerchandise #taylorswiftmerch #reputation #red #1989 #lover #evermore #folklore #speaknow #taylorswiftmidnights 

Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.",24,135,0,,,https://i.ytimg.com/vi/sTzJQcp4tUc/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:05:54
SportsTakes,UChJitnEYsly203hkEnb8PpQ,1694562476.0,Is Taylor Swift dating Travis Kelce? 😳,Big new out of Chiefs camp. #taylorswift #traviskelce #chiefs #erastour,22,66,1,1,,https://i.ytimg.com/vi/tZ6LXtOYF-o/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 23:47:56
Ali Stagnitta,UCKbLN7AFGHmUy_W7IGTfjKw,1694565705.0,Taylor Swift & Travis Kelce are hanging out! #shorts,,22,19,0,0,,https://i.ytimg.com/vi/orWhSg9VnwY/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 00:41:45
New Heights,UCVRm2Ho8cL3lvWDyp2ayuFw,1694649912.0,Jason really tried to blame his KELCE premiere day fit on Kylie  #jasonkelce #newheights #shorts,"Full Episode: https://youtu.be/tTwDaARRMJ0

Watch and listen to new episodes of New Heights with Jason and Travis Kelce every Wednesday during the NFL season & check us out on Instagram, Twitter and TikTok for all the best moments from the show.
.
.
.
Download the full podcast here:
Apple: https://podcasts.apple.com/us/podcast...
Spotify: https://open.spotify.com/show/1y3SUbF...

Follow New Heights on Social Media: 
http://hoo.be/newheightshow

Merch:
https://homage.com/newheights",17,1123970,479,70924,,https://i.ytimg.com/vi/1jqHtmNa5jg/hqdefault.jpg,New Heights|NFL|Shorts|Football|Jukes|Travis Kelce|Kansas City|Chiefs|Jason Kelce|Philadelphia|Eagles|Kansas City Chiefs|Philadelphia Eagles,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-14 00:05:12
ESPN Shorts,UCzq7Lv8Rflx055QdUtfuLZA,1694641500.0,Taylor Swift and Travis Kelce ❤️ #shorts,Taylor Swift and Travis Kelce ❤️ #shorts,22,559577,450,23822,,https://i.ytimg.com/vi/K2w5rh0hQWs/hqdefault.jpg,espn|espn talent|espn shorts,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 21:45:00
The Rich Eisen Show,UCqMtxjKnR7ySbEZSs2N-v0Q,1694647800.0,Wait. Travis Kelce/Taylor Swift Rumors? The Guys Are Enchanted and Ready For It| The Rich Eisen Show,"Rich Eisen and the guys react to the latest news on the Travis Kelce injury front and to rumors that the Chiefs All-Pro TE might be dating Taylor Swift. 

Tune in to the Emmy-nominated Rich Eisen Show live for FREE on The Roku Channel at https://go.roku.com/thericheisenshow and also streaming on Audacy, Sirius channel 218 and XM channel 202 weekdays from 12--3 PM ET! 

Showcasing insightful sports expertise with an offbeat mix of humor and pop culture, The Rich Eisen Show attracts the most recognizable names in sports and entertainment. 

Subscribe here to keep up with the internet's best sports and pop culture commentary, interviews, and much more! 

------ SUBSCRIBE HERE: 
https://bit.ly/2VjWSBC 

FOLLOW US HERE: 
https://www.instagram.com/richeisenshow/ 
https://www.twitter.com/RichEisenShow 
https://www.facebook.com/RichEisenShow 
https://www.tiktok.com/@thericheisenshow 
https://www.audacy.com/richeisen/listen 

#richeisenshow #kansascitychiefs  #taylorswift",17,110400,221,1267,,https://i.ytimg.com/vi/-XNwzI4H0Hc/hqdefault.jpg,Rich Eisen|Rich Eisen Show|sports|NFL|football|college football|CFP|NBA|basketball|MLB|baseball|pop culture|Roku|NFL Network|Chris Brockman|TJ Jefferson|Del Tufo|Super Bowl|Football|CFB|College Football|NFL Draft|Chiefs|KC|Kansas City|Patrick Mahomes|Andy Reid|Travis Kelce|Chris Jones|Isaiah Pacheco|Brett Veach|AFC West|Chargers|Raiders|Denver Broncos|Taylor Swift|Swifties,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 23:30:00
Petey’s Picks Sports,UCeFDq17cnplxyty7F69Pwpw,1694657605.0,Travis Kelce and Taylor Swift’s WILD backstory,,20,110135,108,3032,,https://i.ytimg.com/vi/GjmvWRUclEQ/hqdefault.jpg,,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-14 02:13:25
ESPN,UCiWLfSweyRNmLpgEHekhoAg,1694653204.0,Pat McAfee talks about the Taylor Swift and Travis Kelce dating rumors 😂 #shorts,"✔️ Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",17,86842,91,2829,,https://i.ytimg.com/vi/9v05mWeDBhU/hqdefault.jpg,espn|sports|Pat McAfee talks about the Taylor Swift and Travis Kelce dating rumors 😂 #shorts,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-14 01:00:04
Entertainment Tonight,UCdtXPiqI2cLorKaPrfpKc4g,1694646971.0,Taylor Swift and Travis Kelce NOT Officially Dating (Source),"Amid the rumors Taylor Swift and Travis Kelce are spending time together, a source tells ET the two are not officially dating. On his podcast in July, the Kansas City Chiefs tight end admitted that he tried to connect with the singer at one of her concerts, which sparked dating speculation. ET has reached out to both Taylor and Travis' reps for comment on the recent report they are 'hanging out.'",24,31574,103,297,,https://i.ytimg.com/vi/2Bkg5Gv1ZlU/hqdefault.jpg,Taylor Swift|Travis Kelce,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 23:16:11
Arrowhead Addict: A Kansas City Chiefs Podcast,UC3CdquRsu60VZcbGMfr1WgQ,1694627459.0,Travis Kelce & Taylor Swift TOGETHER?!,"The newest power couple?!

#nfl #football #kansascitychiefs #chiefs #traviskelce #taylorswift",17,28962,60,1100,,https://i.ytimg.com/vi/wCfX42BO9Pw/hqdefault.jpg,Taylor swift|Travis Kelce|Taylor swift Travis Kelce|NFL|Chiefs|Kansas City chiefs|taylor swift boyfriend 2023|who is taylor swift dating|is taylor swift dating travis kelce|travis kelce taylor swift bracelet|travis kelce dating|travis kelce dating taylor swift|taylor swift's new boyfriend|who is taylor swift boyfriend,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 17:50:59
Sneaky Sports,UC0Iao0AU2VMAMmNxHl31Lyw,1694642912.0,Travis Kelce And Taylor Swift Are Together 🤔,,24,26224,18,1007,,https://i.ytimg.com/vi/xnl5gIQ-J84/hqdefault.jpg,,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 22:08:32
LeBatardShow,UCAIZ314ffmfM4PynCR8vElw,1694641866.0,A New Era? Is Travis Kelce Dating Taylor Swift? | The Dan Le Batard Show with Stugotz | Hour 1,"We start with some pop culture and react to the Ashton Kutcher and Mila Kunis apology video, the news that Travis Kelce is dating or ""hanging out"" with Taylor Swift. Then we react to the latest viral video of Victor Wembanyama.

------------------------------------------------------------------------------------------------------------------------------------------------------------

✅ Follow & Subscribe to Our Podcasts on Spotify & Apple Podcasts ✅

🔊 The Dan Le Batard Show with Stugotz 🔊

🟢 Spotify: https://open.spotify.com/show/2FuorRy...


🟣 Apple Podcast: https://podcasts.apple.com/us/podcast...


🔊 Le Batard & Friends Network 🔊

🟢 Spotify: https://open.spotify.com/show/2ZYllDN...


🟣 Apple Podcast: https://podcasts.apple.com/us/podcast...


🔊 Mystery Crate 🔊

🟢 Spotify:  https://open.spotify.com/show/6nCctQZ...


🟣 Apple Podcast: https://podcasts.apple.com/us/podcast...


------------------------------------------------------------------------------------------------------------------------------------------------------------


✅ Follow Us On Social! ✅ 

☑️ The LeBatard Show on Twitter: https://twitter.com/lebatardshow ☑️
📸 The LeBatard Show on Instagram: http://instagram.com/lebatardshow 📸
💥 The LeBatard Show on TikTok: https://www.tiktok.com/@lebatardshow 💥
🪄 The LeBatard Show on Twitch: https://www.twitch.tv/lebatardandfriends 🪄


✅ Subscribe! ✅
💻 https://www.youtube.com/channel/UCAIZ...

🤑 MERCH! 🤑 :
https://lebatardaf.com/


------------------------------------------------------------------------------------------------------------------------------------------------------------

The Best Daily Sports Podcast on the Internet

#lebatardshow #lebatard #thepirateship #sports #betting #sportsbetting #live #stugotz #danlebatard",17,25505,145,490,,https://i.ytimg.com/vi/NrS5ydXlTL0/hqdefault.jpg,dan lebatard|lebatard|stugotz|mike ryan|billy gil|cote|greg cote|chris cote|chris wittyngham|jessica smetana|jon weiner|the dan lebatard show with stugotz|big suey|local hour|draft kings|juju gotti|hour 1|hour 2|dan le batard|the dan le batard show with stugotz|the dan le batard show with stugotz live|Travis Kelce|Taylor Swift|travis kelce taylor swift|taylor swift eras,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 21:51:06
Chicks in the Office,UCMT02e4ZJYFN2p8GKLugwvA,1694638609.0,Biggest VMA Moments + Taylor Swift & Travis Kelce Rumors,"⚡️WE’RE BACK IN THE STUDIO⚡️

Today we’re talking everything that went down last night at the VMAs, uproar from Timothée Chalamet fan accounts about his new relationship with Kylie Jenner, Tom Sandoval sending Raquel birthday wishes, the Dancing with the Stars full cast announcement, Taylor Swift & Travis Kelce rumors + much more! 

00:00 - Intro
15:50 - VMAs recap
47:45 - Timothée Chalamet fan accounts gone wild
54:33 - Raquel Leviss blocks Tom Sandoval on IG
56:48 - Dancing with the Stars cast revealed
1:03:45 - Taylor Swift & Travis Kelce rumors

Have you subscribed to CITO on YouTube?
➡️ https://barstool.link/3ca8VLB

Follow us on Instagram: https://barstool.link/CITOIG
Follow us on Twitter: https://twitter.com/chicksintheoff
CITO Merch: https://barstool.link/CITOMerch#GirlBossTown

Thanks to our sponsors:
e.l.f. Cosmetics - Learn more at https://elfcosmetics.com or on the e.l.f. Cosmetics App .

Zola - Start planning at https://www.Zola.com

Instacart - Visit https://instacart.com/chicks to get $30 off your first order of $80 or more and also get free delivery on your first 3 orders

Sleep Number - Save $400 on the New Sleep Number® c4 smart bed. Plus, special financing for a limited time. Only at Sleep Number® stores or https://sleepnumber.com

Athena Club - Get started with Athena Club today by shopping in-store at Target nationwide or online at https://www.athenaclub.com

Biggest VMA Moments + Taylor Swift & Travis Kelce Rumors",24,23549,58,310,,https://i.ytimg.com/vi/4n58jEM3kpU/hqdefault.jpg,Chicks|barstool sports|chicks in the office|Barstool|Ria|Fran|Cito|Pop Culture|Fran and Ria|fran mariano|ria ciuffo|chicks in the office podcast|friday energy|ria and fran|celebrity news|taylor swift|taylor swift VMAs|taylor swift travis kelce|travis kelce taylor swift|Timothée Chalamet|Raquel Leviss|tom sandoval|rachel leviss|dancing with the stars|dancing with the stars cast,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 20:56:49
X17onlineVideo,UC4GfN7q1C1m0z6cf2NkMg2w,1694623577.0,Taylor Swift Leaves VMA Party Following Rumored Hook-Up With NFL Star Travis Kelce,"Taylor Swift made quite the impression at the MTV Video Music Awards after party in New York City, where she turned heads with her daring fashion choice - a super low-cut dress that perfectly showcased her long, slender legs. Her appearance at the event fueled the ongoing buzz surrounding her reported hook up with NFL tight end Travis Kelce, who plays for the Kansas City Chiefs. As she leaves the event, Swift gracefully navigates a sea of fans and manages to avoid any fan interaction as she's escorted to her vehicle.

WATCH MORE AND SUBSCRIBE!
https://www.youtube.com/X17onlineVideo

For all the latest Celebrity Gossip, Entertainment News and the best Paparazzi Photos and Video, check us out on http://www.X17online.com

Get social with X17online!:
Follow us on Twitter!: https://twitter.com/x17online
Like us on Facebook!: https://www.facebook.com/x17online

For advertising with X17, email ads@x17agency.com
For photo and video licensing, email sales@x17agency.com

#TaylorSwift #VMAs",24,8765,17,84,,https://i.ytimg.com/vi/8eEOBudtrEY/hqdefault.jpg,Taylor Swift|Travis Kelce|Kansas City Chiefs|NFL|MTV|VMA|Video Music Awards|Legs|Low Cut|taylor swift vmas 2023|taylor swift stray kids vmas|taylot swift and stray kdis|taylor swift stray kids vmas 2023 performance|stray kids vmas|stray kids vmas 2023|stray kids|celebrity news|stray kids 2023 performance vmas|celeb news|entertainment|page six style|celebs|video music awards|page six|vmas 2023|video music awards 2023|pop culture|vmas|news|celeb|gossip,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 16:46:17
FOX 5 Washington DC,UCHLyP4MuA-JAFBCwxXOEDdA,1694635964.0,Rumors about Taylor Swift's new beau,"Taylor Swift might be dating NFL Super Bowl champion Travis Kelce.

FOX 5's Good Day DC team breaks down the latest local, regional and national news, along with information on business, entertainment, sports, weather, traffic and more!

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",25,8320,5,29,,https://i.ytimg.com/vi/2cgSHwTbUWg/hqdefault.jpg,good-day|Taylor Swift|Travis Kelce|friendship bracelet|dating|Eras Tour|Chiefs,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 20:12:44
RiRi's Tea,UCD3kHaq-oWmEwXQIT5S3fdw,1694649477.0,Dave Portnoy’s Thoughts On Taylor Swift & Travis Kelce #daveportnoy #taylorswift #traviskelce,,22,5740,6,156,,https://i.ytimg.com/vi/APd7Mjrd1OU/hqdefault.jpg,,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 23:57:57
BritMadrid,UCavBW4z_G38mj_zZH9XI1mg,1694592492.0,Taylor Swift & Travis Kelce Dating?!  *Tarot Tea*,"Taylor Swift and Travis Kelce have been ""hanging out"" according to sources!  Let's pour some tarot tea and see if the queen of pop will be spending more time in my Kansas Ci-tea neighborhood in the future!

XO Brit


#taylorswift #tarot #taylorswiftdating",24,4683,51,114,,https://i.ytimg.com/vi/zijHDBuryv0/hqdefault.jpg,taylor swift|taylor swift album|taylor swift lyrics|official taylor swift video|taylor swift new album|midnights|new taylor swift|taylor swift speak now|taylor’s version|taylor swift boyfriend 2023|taylor swift dating|travis kelce taylor swift|celebrity tarot|zodiac|eras tour|tmz|celebrity tea|gossip|maren altman|sebastian soto|taylor swift playlist|taylor swift top songs|1989|taylor in kansas city|Taylor at Chiefs Game|the eras tour,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 08:08:12
PlayfulParade,UCvOPvSH8h22FYeoRI9OZJzA,1694619694.0,Taylor Swift's New Play? Spotted with NFL Star Travis Kelce!,"""Dive into the latest buzz as pop icon Taylor Swift is seen in the company of NFL sensation Travis Kelce. From music stages to football fields, it seems the stars are aligning for these two. Are they the next power duo or just friends enjoying each other's company? Join us for the inside scoop! 

#SwiftKelceConnection #StarStuddedHangouts #NFLmeetsPop""",24,3864,5,36,,https://i.ytimg.com/vi/jZX_Vy0BS9E/hqdefault.jpg,Taylor Swift|Travis Kelce|NFL|Pop Icon|Celebrity Hangouts|Swift and Kelce|Music and Sports|Celebrity Gossip|Star-Studded Connections|Taylor's New Friend|NFL Stars Off-Field|Celebrity News|Taylor Swift Updates|Travis Kelce News|Power Duo.,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 15:41:34
SportsGrid,UCcFyRRhBfIEd3hZyUmdHkSw,1694648700.0,Taylor Swift and Travis Kelce?!?!,"*****
Download our App here: https://bit.ly/46Fmptb

#GetOnTheGrid
✔ Instagram: https://www.instagram.com/sportsgridtv/
✔ Subscribe: https://www.youtube.com/sportsgridTV3
✔ Twitter: http://www.twitter.com/sportsgrid
✔ Facebook: https://www.facebook.com/sportsgrid
✔ TikTok: https://www.tiktok.com/@sportsgrid
✔ Twitch: https://www.twitch.tv/sportsgridnetwork
✔ Discord: https://discord.gg/Us85KJQgbN

#TheWinningEdge 
XUMO
STIRR
Sling TV
The Roku Channel
Plex TV
Samsung TV Plus
LG TV
FuboTV
YouTubeTV",17,3596,4,52,,https://i.ytimg.com/vi/4gouJcwlDFw/hqdefault.jpg,sports betting|betting tips|betting analysis|best bets|sports betting odds|sports betting lines|free picks|free picks daily|game preview|betting experts|sports gambling,2023-11-28 17:17:59.687103,2,2023-09-13,2023-09-13 23:45:00
